"GeoGuide";"Guides";"Geo-Guide";;"Geo-Guide"
"GeoGuide0058";"GeoGuide0007";"Angewandte Ozeanologie";"lkl=uhk 000";"Applied Oceanography"
"GeoGuide0059";"GeoGuide0007";"Regionale Ozeanologie";"lkl=uk 000";"Regional Oceanography"
"GeoGuide0074";"GeoGuide0008";"Bodenkunde";"lkl=vn 000";"Soil Science"
"GeoGuide0163";"GeoGuide0074";"Bodenuntersuchung, Bodenanalyse";"lkl=voa 000";"Soil Analysis"
"GeoGuide0164";"GeoGuide0074";"Bodenökologie";"lkl=vob 000";"Soil Ecology (Properties and Composition)"
"GeoGuide0165";"GeoGuide0074";"Bodenart - Mineralische Bodensubstanz";"lkl=voba 000";"Soil Type: Soil Minerals"
"GeoGuide0166";"GeoGuide0074";"Chemische und Physikochemische Bodeneigenschaften";"lkl=vobb 000";"Chemical and Physicochemical Properties {Soil Science}"
"GeoGuide0167";"GeoGuide0074";"Physikalische Bodeneigenschaften";"lkl=vobc 000";"Physical Soil Properties"
"GeoGuide0168";"GeoGuide0074";"Bodenbiologie";"lkl=vobd 000";"Soil Biology"
"GeoGuide0169";"GeoGuide0074";"Bodenbildung und Bodenentwicklung";"lkl=voe 000";"Pedogenesis"
"GeoGuide0170";"GeoGuide0074";"Bodenhorizonte";"lkl=vof 000";"Soil Morphology"
"GeoGuide0171";"GeoGuide0074";"Bodensystematik";"lkl=voh 000";"Soil Classification"
"GeoGuide0172";"GeoGuide0074";"Bodengeographie";"lkl=vol 000";"Soil Geography"
"GeoGuide0173";"GeoGuide0074";"Bodenaufnahme und Bodenkartierung";"lkl=vom 000";"Soil Mapping and Surveying"
"GeoGuide0174";"GeoGuide0074";"Bodenverschlechterung. Bodenkontamination";"lkl=von 000";"Soil Degradation and Soil Contamination"
"GeoGuide0175";"GeoGuide0074";"Bodenerosion";"lkl=voo 000";"Soil Erosion"
"GeoGuide0176";"GeoGuide0074";"Bodenerhaltung. Bodenschutz";"lkl=vop 000";"Soil Conservation and Soil Protection"
"GeoGuide0178";"GeoGuide0074";"Regionale Bodenkunde";"lkl=vp 000";"Regional Pedology"
"GeoGuide0011";"GeoGuide";"Geographie";"lkl=qa 000";"Geography"
"GeoGuide0220";"GeoGuide0011";"Geoinformationssysteme {Geographie}";"lkl=qbd 700";"GIS - Geographical Information Systems {Geography}"
"GeoGuide0221";"GeoGuide0220";"GIS: Methodische Anleitungen";"lkl=qbda 700";"GIS: methodology"
"GeoGuide0222";"GeoGuide0220";"GIS: Regionale und Thematische Anwendungen";"lkl=qbdb 700";"GIS: regional, thematic relation"
"GeoGuide0223";"GeoGuide0220";"GIS: Softwareanbieter";"lkl=qbdc 700";"GIS: Software Providers "
"GeoGuide0224";"GeoGuide0011";"Physische Geographie";"lkl=qd 000";"Physical Geography"
"GeoGuide0225";"GeoGuide0224";"Geomorphologie {Physische Geographie}";"lkl=qdb 000";"Geomorphology {Physical Geography}"
"GeoGuide0226";"GeoGuide0224";"Biogeographie";"lkl=qdj 000";"Biogeography"
"GeoGuide0227";"GeoGuide0224";"Allgemeine Naturlandschaftskunde";"lkl=qdn 000";"Landscape Ecology, Geoecology"
"GeoGuide0228";"GeoGuide0011";"Anthropogeographie";"lkl=qe 000";"Human Geography, Anthropogeography"
"GeoGuide0229";"GeoGuide0228";"Sozialgeographie im engeren Sinn";"lkl=qea 000";"Social Geography"
"GeoGuide0230";"GeoGuide0228";"Medizinische Geographie";"lkl=qef 000";"Medical Geography"
"GeoGuide0231";"GeoGuide0228";"Bevölkerungsgeographie und Wanderungsforschung";"lkl=qeg 000";"Population Geography and Migration Analysis"
"GeoGuide0232";"GeoGuide0228";"Religionsgeographie";"lkl=qeh 000";"Religion Geography"
"GeoGuide0233";"GeoGuide0228";"Politische Geographie, Geopolitik";"lkl=qei 000";"Political Geography, Geopolitics"
"GeoGuide0234";"GeoGuide0228";"Historische Geographie";"lkl=qek 000";"Historical Geography"
"GeoGuide0235";"GeoGuide0228";"Siedlungsgeographie";"lkl=qen 000";"Urban Geography, Settlement Geography"
"GeoGuide0236";"GeoGuide0228";"Wirtschaftsgeographie";"lkl=qer 000";"Economic Geography"
"GeoGuide0237";"GeoGuide0011";"Angewandte Geographie";"lkl=qf 000";"Applied Geography"
"GeoGuide0238";"GeoGuide0237";"Angewandte PhysikalischeGeographie";"lkl=qfc 000";"Applied Physical Geography"
"GeoGuide0239";"GeoGuide0237";"Raumordnung/Raumplanung";"lkl=qfg 000";"Regional Planning"
"GeoGuide0240";"GeoGuide0237";"Entwicklungsländerforschung";"lkl=qfk 000";"Developing Countries Studies"
"GeoGuide0241";"GeoGuide0011";"Regionale Geographie";"lkl=qg 000";"Regional Geography"
"GeoGuide0242";"GeoGuide0241";"Gesamte Erde";"lkl=qg 100";"Earth as a Whole"
"GeoGuide0243";"GeoGuide0241";"Landschaftsgürtel und Großlandschaften der Erde {Geographie}";"lkl=qg 300";"Landscapes and Large Areas of Earth"
"GeoGuide0244";"GeoGuide0241";"Europa {Geographie}";"lkl=qga 000";"Europe {Geography}"
"GeoGuide0245";"GeoGuide0241";"Asien {Geographie}";"lkl=qgh 000";"Asia {Geography}"
"GeoGuide0246";"GeoGuide0241";"Afrika {Geographie}";"lkl=qgn 000";"Africa {Geography}"
"GeoGuide0247";"GeoGuide0241";"Amerika {Geographie}";"lkl=qgv 000";"America {Geography}"
"GeoGuide0248";"GeoGuide0241";"Nordamerika {Geographie}";"lkl=qgw 000";"North America {Geography}"
"GeoGuide0249";"GeoGuide0241";"Mittel- und Südamerika {Geographie}";"lkl=qgx 000";"Central and South America {Geography}"
"GeoGuide0250";"GeoGuide0241";"Australien und Ozeanien {Geographie}";"lkl=qgy 000";"Australia and Oceania {Geography}"
"GeoGuide0251";"GeoGuide0241";"Polargebiete {Geographie}";"lkl=qgz 100";"Polar Zone {Geography}"
"GeoGuide0252";"GeoGuide0241";"Meeresräume {Geographie}";"lkl=qgz 500";"Oceans {Geography}"
"GeoGuide0012";"GeoGuide";"Kartographie";"lkl=ut 000";"Cartography"
"GeoGuide0253";"GeoGuide0012";"Kartographie im Allgemeinen";"lkl=uu 000";"General Cartography"
"GeoGuide0254";"GeoGuide0012";"Geschichte der Kartographie";"lkl=uub 000";"History of Cartography"
"GeoGuide0255";"GeoGuide0012";"Thematische Kartographie";"lkl=uwe 000";"Thematic Cartography"
"GeoGuide0256";"GeoGuide0012";"Kartographie einzelner Regionen";"lkl=uy 000";"Regional Cartography"
"GeoGuide0013";"GeoGuide";"Karten";"lkl=uqa 000";"Maps"
"GeoGuide0257";"GeoGuide0013";"Karten zu den Geisteswissenschaften";"lkl=uqb 000";"Maps: Humanities"
"GeoGuide0258";"GeoGuide0013";"Karten zu Religionswissenschaft, Theologie";"lkl=uqb 200";"Maps: Religious Science, Theology"
"GeoGuide0259";"GeoGuide0013";"Karten zur Geschichte";"lkl=uqc 000";"Maps: History"
"GeoGuide0260";"GeoGuide0013";"Karten zu den allgemeinen Sprachwissenschaften";"lkl=uqd 000";"Maps: General Linguistics"
"GeoGuide0261";"GeoGuide0013";"Karten zu Kunst, Theater, Musik";"lkl=uqd 900";"Maps: Art, Theater, and Music"
"GeoGuide0262";"GeoGuide0013";"Karten zu den Exakten Wissenschaften";"lkl=uqe 000";"Maps: Exact Sciences"
"GeoGuide0263";"GeoGuide0013";"Karten zu den Geowissenschaften";"lkl=uqf 000";"Maps: Earth Science"
"GeoGuide0264";"GeoGuide0263";"Karten zur Geophysik";"lkl=uqf 200";"Maps: Geophysics"
"GeoGuide0265";"GeoGuide0263";"Karten zur Meteorologie und Klimatologie";"lkl=uqf 600";"Maps: Meteorology and Climatology"
"GeoGuide0266";"GeoGuide0263";"Karten zur Geologie";"lkl=uqg 000";"Maps: Geology"
"GeoGuide0267";"GeoGuide0263";"Karten zur Mineralogie und Gemologie";"lkl=uqi 100";"Maps: Mineralogy and Gemology"
"GeoGuide0268";"GeoGuide0263";"Karten zur Geochemie";"lkl=uqi 300";"Maps: Geochemistry"
"GeoGuide0269";"GeoGuide0263";"Karten zur Petrologie";"lkl=uqi 500";"Maps: Petrology"
"GeoGuide0270";"GeoGuide0263";"Karten zur Bodenkunde";"lkl=uqi 700";"Maps: Soil Science"
"GeoGuide0271";"GeoGuide0263";"Karten zur Lagerstättenkunde, Geologie der Minerallagerstätten";"lkl=uqj 000";"Maps: Economic Geology, Geology of Mineral Deposits"
"GeoGuide0272";"GeoGuide0263";"Karten zur Ozeanologie und marinen Geologie";"lkl=uqk 100";"Maps: Oceanography and Marine Geology"
"GeoGuide0273";"GeoGuide0263";"Karten zur Hydrogeologie";"lkl=uqk 400";"Maps: Hydrogeology"
"GeoGuide0274";"GeoGuide0013";"Karten zur Astronomie";"lkl=uql 000";"Maps: Astronomy"
"GeoGuide0275";"GeoGuide0013";"Karten zu Biologie und Ökologie";"lkl=uqm 000";"Maps: Biology and Ecology"
"GeoGuide0276";"GeoGuide0013";"Karten zu Umweltforschung";"lkl=uqm 400";"Maps: Environmental Research"
"GeoGuide0277";"GeoGuide0013";"Karten zur Land- und Forstwirtschaft";"lkl=uqm 600";"Maps: Agriculture and Forestry"
"GeoGuide0278";"GeoGuide0013";"Karten zur Medizin";"lkl=uqm 800";"Maps: Medical Science"
"GeoGuide0279";"GeoGuide0013";"Karten zur Technik";"lkl=uqn 000";"Maps: Engineering"
"GeoGuide0280";"GeoGuide0013";"Karten zum Bergbau";"lkl=uqn 300";"Maps: Mining"
"GeoGuide0281";"GeoGuide0013";"Karten zu den Sozialwissenschaften";"lkl=uqp 000";"Maps: Social Sciences"
"GeoGuide0282";"GeoGuide0281";"Karten zur Soziologie";"lkl=uqp 100";"Maps: Sociology"
"GeoGuide0283";"GeoGuide0013";"Karten zur Geographie";"lkl=uqq 000";"Maps: Geography"
"GeoGuide0284";"GeoGuide0013";"Karten zu Raumordnung und Städtebau";"lkl=uqr 100";"Maps: Regional Planning and Urban Development"
"GeoGuide0285";"GeoGuide0013";"Karten zu Sport, Freizeit und Erholung";"lkl=uqr 600";"Maps: Sport, Leisure Time, and Recreation"
"GeoGuide0286";"GeoGuide0013";"Karten zum Bildungswesen";"lkl=uqr 700";"Maps: Education System"
"GeoGuide0287";"GeoGuide0013";"Karten zur Wirtschaft";"lkl=uqs 000";"Maps: Economy"
"GeoGuide0288";"GeoGuide0013";"Karten zu Recht und Verwaltung";"lkl=uqt 000";"Maps: Legislation and Administration"
"GeoGuide0289";"GeoGuide0013";"Karten nach Regionen";"lkl=ur 000";"Regional Maps"
"GeoGuide0290";"GeoGuide0289";"Karten: Gesamte Erde";"lkl=ur 100";"Maps: World"
"GeoGuide0291";"GeoGuide0289";"Karten: Landschaftsgürtel und Großlandschaften der Erde";"lkl=ur 300";"Maps: Landscapes and Large Areas of Earth"
"GeoGuide0292";"GeoGuide0289";"Karten: Europa";"lkl=ura 000";"Maps: Europe"
"GeoGuide0293";"GeoGuide0289";"Karten: Asien";"lkl=urh 000";"Maps: Asia"
"GeoGuide0294";"GeoGuide0289";"Karten: Afrika";"lkl=urn 000";"Maps: Africa"
"GeoGuide0295";"GeoGuide0289";"Karten: Amerika";"lkl=urv 000";"Maps: America"
"GeoGuide0296";"GeoGuide0295";"Karten: Nordamerika";"lkl=urw 000";" Maps: North America"
"GeoGuide0297";"GeoGuide0295";"Karten: Mittel- und Südamerika";"lkl=urx 100";"Maps: Central and South America"
"GeoGuide0298";"GeoGuide0289";"Karten: Australien und Ozeanien";"lkl=ury 000";"Maps: Australia and Oceania"
"GeoGuide0299";"GeoGuide0289";"Karten: Polargebiete";"lkl=urz 100";"Maps: Polar Zone"
"GeoGuide0300";"GeoGuide0289";"Karten: Meeresräume";"lkl=urz 500";"Maps: Oceans"
"GeoGuide0301";"GeoGuide0289";"Karten: Weltall";"lkl=urz 900";"Maps: Universe"
"GeoGuide0009";"GeoGuide";"Bergbau";"lkl=zu 000";"Mining"
"GeoGuide0179";"GeoGuide0009";"Einzelne Bergbaugebiete {Technik: Bergbau}";"lkl=zu 060";"Mining Districts"
"GeoGuide0180";"GeoGuide0009";"Bergrecht {Technik: Bergbau}";"lkl=zu 150";"Mining Law"
"GeoGuide0181";"GeoGuide0009";"Bergwirtschaft {Technik: Bergbau}";"lkl=zu 180";"Mining Economics, Mining Industries, Recources, Production etc."
"GeoGuide0182";"GeoGuide0009";"Ausbildung, Beruf, Zukunft {Technik: Bergbau}";"lkl=zu 200";"Education, Profession, and Future {Mining}"
"GeoGuide0183";"GeoGuide0009";"Bergbaugeschichte {Technik: Bergbau}";"lkl=zu 400";"Mining History"
"GeoGuide0184";"GeoGuide0009";"Markscheidewesen {Technik: Bergbau}";"lkl=zub 000";"Mine Surveying, Prospecting and Geostatistica"
"GeoGuide0185";"GeoGuide0009";"Gebirgsmechanik, Gesteinsmechanik {Technik: Bergbau}";"lkl=zue 000";"Geomechanics, Rock Mechanics {Mining}"
"GeoGuide0186";"GeoGuide0009";"Bergbautechnik {Technik: Bergbau}";"lkl=zug 000";"Mining Technology"
"GeoGuide0187";"GeoGuide0186";"Untertägiger Bergbaubetrieb {Technik: Bergbau}";"lkl=zug 010";
"GeoGuide0188";"GeoGuide0186";"Bergwergserschließung-Ausrichtung und Vorrichtung {Technik: Bergbau}";"lkl=zug 050";"Mine Development"
"GeoGuide0189";"GeoGuide0186";"Werkzeuge und Maschinen {Technik: Bergbau}";"lkl=zug 060";"Mining Machines"
"GeoGuide0190";"GeoGuide0186";"Bohren, Sprengen {Technik: Bergbau}";"lkl=zug 100";"Drilling and Blasting {Mining}"
"GeoGuide1191";"GeoGuide0190";"Tiefbohren {Technik: Bergbau}";"lkl=zug 150";"Deep Drilling {Mining}"
"GeoGuide1193";"GeoGuide0190";"Schächte, Blindschächte, Schachtbohren {Technik: Bergbau}";"lkl=zug 180";"Shaft, Shaft Sinking, Shaft Boring {Mining}"
"GeoGuide1194";"GeoGuide0190";"Grubenbau und Stollenbau {Technik: Bergbau}";"lkl=zug 200";"Advance, Driving, Headways, and Galleries {Mining}"
"GeoGuide1195";"GeoGuide0190";"Tunnelbau {Technik: Bergbau}";"lkl=zug 220";"Tunneling {Mining}"
"GeoGuide0191";"GeoGuide0186";"Tagebau {Technik: Bergbau}";"lkl=zug 280";"Surface Mining, Open-Pit Mining, and Quarries"
"GeoGuide0192";"GeoGuide0186";"Meeresbergbau {Technik: Bergbau}";"lkl=zug 290";"Deep-Sea Mining"
"GeoGuide0196";"GeoGuide0009";"Bergschadenkunde {Technik: Bergbau}";"lkl=zul 060";"Mine Damage"
"GeoGuide0197";"GeoGuide0009";"Bergbauzweige {Technik: Bergbau}";"lkl=zus 000";"Mining Branches"
"GeoGuide0198";"GeoGuide0197";"Kohle {Technik: Bergbau}";"lkl=zus 200";"Coal Mining"
"GeoGuide0199";"GeoGuide0198";"Steinkohle, Anthrazit {Technik: Bergbau}";"lkl=zus 220";"Hard Coal, Anthracite {Mining}"
"GeoGuide1199";"GeoGuide0198";"Braunkohle, Torf {Technik: Bergbau}";"lkl=zus 240";"Brown Coal, Lignite {Mining}"
"GeoGuide0200";"GeoGuide0198";"Einzelne Kohlebergbaugebiete, Kohlelagerstätten {Technik: Bergbau}";"lkl=zus 280";"Coal Mining Districts, Coal Fields"
"GeoGuide0201";"GeoGuide0197";"Erdöl, Erdgas {Technik: Bergbau}";"lkl=zus 300";"Crude Oil and Natural Gas {Mining}"
"GeoGuide0202";"GeoGuide0197";"Einzelne Erdölgebiete, Erdgasgebiete {Technik: Bergbau}";"lkl=zus 380";"Particular Gas and Oil Fields {Mining}"
"GeoGuide0203";"GeoGuide0197";"Erzbergbau {Technik: Bergbau}";"lkl=zus 500";"Ore Mining"
"GeoGuide0204";"GeoGuide0197";"Einzelne Erzbaugebiete, Erzlagerstätten {Technik: Bergbau}";"lkl=zus 580";"Particular Ore Mining Districts and Ore Deposits"
"GeoGuide0205";"GeoGuide0197";"Industrieminerale {Technik: Bergbau}";"lkl=zus 600";"Industrial Minerals {Mining}"
"GeoGuide0206";"GeoGuide0197";"Einzelne Bergbaugebiete von Industriemineralen {Technik: Bergbau}";"lkl=zus 620";"Industrial Minerals Districts {Mining}"
"GeoGuide0207";"GeoGuide0197";"Kali- und Salzbergbau {Technik: Bergbau}";"lkl=zus 640";"Potash, Halite, and Rock Salt {Mining}"
"GeoGuide0208";"GeoGuide0197";"Einzelne Salzbergbaugebiete {Technik: Bergbau}";"lkl=zus 660";"Salt Mining Districts"
"GeoGuide0209";"GeoGuide0197";"Steine und Erden {Technik: Bergbau}";"lkl=zus 800";"Building Material, Natural Stone {Mining}"
"GeoGuide0210";"GeoGuide0197";"Einzelne Bergbaugebiete von Steine und Erden {Technik: Bergbau}";"lkl=zus 880";"Building Material Districts {Mining}"
"GeoGuide0211";"GeoGuide0009";"Grubenbewetterung {Technik: Bergbau}";"lkl=zut 000";"Mine Ventilation"
"GeoGuide0212";"GeoGuide0009";"Bergmännische Wasserwirtschaft {Technik: Bergbau}";"lkl=zuu 000";"Mine Drainage, Mine Water"
"GeoGuide1212";"GeoGuide0009";"Förderung und Transport {Technik: Bergbau}";"lkl=zuv 000";"Haulage, Hoisting, and Transport incl. Pipelines {Mining}"
"GeoGuide0213";"GeoGuide0009";"Aufbereitung und Veredelung {Technik: Bergbau}";"lkl=zuw 000";"Mineral Processing, Ore Dressing, and Benefication {Mining}"
"GeoGuide0214";"GeoGuide0213";"Aufbereitungsrückstande, Abraum, Halden und Verfüllen {Technik: Bergbau}";"lkl=zux 000";"Dumps, Tips, Tailings Ponds, and Hydraulic Filling {Mining}"
"GeoGuide0215";"GeoGuide0009";"Unterirdisches Einlagern {Technik: Bergbau}";"lkl=zux 500";"Underground Storage {Mining}"
"GeoGuide0216";"GeoGuide0215";"Aufbewahrung von radioaktivem Material {Technik: Bergbau}";"lkl=zux 550";"Repositories for Radioactive Waste {Mining}"
"GeoGuide0217";"GeoGuide0009";"Grubensicherheit, Rettungswesen {Technik: Bergbau}";"lkl=zuy 000";"Mine Safety, Rescue, and Health {Mining}"
"GeoGuide0218";"GeoGuide0009";"Staubbekämpfung {Technik: Bergbau}";"lkl=zuy 200";"Dust Control {Mining}"
"GeoGuide0219";"GeoGuide0009";"Bergbausanierung und Rekultivierung {Technik: Bergbau}";"lkl=zuz 000";"Rehabilitation of Mining Areas, Reclaimation"
"GeoGuide0010";"GeoGuide";"Metallurgie, Metallhüttenkunde";"lkl=zme 000";"Metallurgy"
